doc_id,topic,probability,preprocess_disc
0,0,0.9995653629302979,bom noite todo todo saudar colega todo assister tv_câmara saudar especial bancada psol grande batalha dar longo 2022 luta contra bolsonaro bolsonarismo lutar vitorioso bancada parte fundamental junto militância garanter eleição lula presidente_do_brasil agora dúvida seguirer desafio saber seguir infelizmente organização extremadireitar fonte financiamento certo grau impunidade ver ainda pouco financiador identificar ainda pouco liderança identificar pagar crime dúvida principal tarefa batalha governo iniciar nenhum anistia necessário reparação reparação histórico brasil paz passado agora recente necessário passar limpo todo crime cometir bolsonaro especial contexto perder foro privilegiar crime inclusive apontar cpi série outro outro área além tema sanitário cometir contra povo brasileiro estaremos linha frente cobrar paguar todo crime destacar outro luta fundamental psol longo ano 2022 especial articular conquistar supremo_tribunal_federal derrubar chamar esquema orçamento secreto além transparência referir montante grande orçamento público servir base sustentação governo extremadireitar jair_bolsonaro denúncia público junto evidentemente bravo profissional jornalista dar repercussão esquema batalha pressão público junto supremo_tribunal_federal relatório ministra_rosa_weber acompanhar demais ministro possibilitar revelação fim esquema tão ruim sociedade político brasileiro dúvida digital dna bravura bancada psol processo destacar bancada maioria feminino próximo legislatura diversificarse ainda pois contar chegada primeiro mulher trans eleita país companheiro erika_hilton contar presença dois mulher indígena bem voltar companheiro chico_alencar chegada pastor henrique_vieira grande defensor direito humano rio_de_janeiro guilherme_boulo futuro prefeito cidade paulo portanto viremos bancada ainda fortalecer diversificar vontade seguir lutar tarefa governo_lula conseguir garantir país reconstruir povo voltar pequeno dignidade voltar sonhar voltar comer direito social político público pensar lógica ódio guerra violência tônico último 4 ano toa clima festa dúvida ver posse dia 1 janeiro redençãor povo brasileiro sempre consciência necessário seguir lutar programa elazer urna fato cumprir garantir saber adversário tentar atrapalhar conquista povo brasileiro dúvida psol seguir parte fundamental processo conquistar população agradecer colega bancada confianço condução liderança ano próximo seguire junto lutar direito povo obrigar
65,0,0.9995067715644836,ouvir talvez viver distopia concordar distopia maluquice talvez vejor algum tribuna defender democracia defender constituição_federal sr_presidente respeitar resultado eleição vontade popular soberano vontade povo brasileiro organizar aplaudir ato golpista passar último 4 ano exigir volta ditadura militar favorável algum momento fechar parlamento agora antidemocrático algum atitude servir coibir golpismo algum atitude coibir ato criminoso atitude dever aplaudir questionar usar rede social tentar passar cima vontade povo dever sim punir severamente punir talvez lembrar legislatura aprovar crime contra estado_democrático_de_direito matéria votar aprovar parlamento necessário parlamentar primeiro cumprir regra previstas legislação primeiro cumprir constituição_federal comportamento incitar turba furioso contra democracia brasileiro agora surpreso raivoso punir agir tal quê achar inclusive demorar achar inclusive próximo ano pessoa junto sujeitinho hoje infelizmente ocupar palácio_do_planalto sumir desde eleição chorar preocupar choro lágrima povo brasileiro especial contexto pandemia ainda investigar puner próximo período assim presidente_da_república bolsonaro perder foro privilegiar série crime cometer inclusive cpi pandemia identificar preciso agir punir levar sujeito prisão todo ficar foro acompanhar caso seguir foro sim papel supremo_tribunal_federal averiguar afinal foro privilegiar onde adorar conselho_de_ético punir parlamentar desde resultado eleição conselho_de_ético abrir inclusive pedir cassação sra_deputada_carla_zambelli véspera eleição quase matar sujeito pouco quadra comício lula acontecer avenida_paulista conselho_de_ético abrir abrir constituir maioria pl dar inclusive maioria parlamentar suficiente agora vítima puner atentar contra democracia brasileiro demorar todo prisão diante todo prisão perder foro privilegiar começar próprio quase expresidente_jair_bolsonaro todo demais ficar rede social achar extensão cometer crime conta derrubar sim prestar atenção ficar último 4 ano atentar contra democracia brasileiro perder eleição reconhecer resultado eleição achar ficar impune santo paciência chorar perdedor começar atrás justiça reparação lutar travar começar
146,0,0.999366819858551,sr_presidente aproveitar momento tribuna tratar questão fundamental parlamento_brasileiro sociedade brasileiro equidade parlamento emenda relator hoje aprovar comissão_de_fiscalização_e_controle convocação ministro wagner_rosário cgu lista beneficiário emenda relator aliás bolsonaro contradir debate lula tv_bandeirantes saber mostrar receber inclusive pt então verdade seguinte governo_lula começar aceitar continuar excrescência chamar emenda relator dirijome diretamente casa deputado_arthur_liro grande beneficiário chefe_de_poder distribuir benesse emenda relator faltar transparência faltar planejamento faltar participativo sempre amigo rei principal questão ninguém tocar equidade parlamento receber emenda amigo rei emenda mostrar estado maranhão bastar ver reportagem rever piauí corrupção todo área emenda relator corrupção escancarar emenda relator grande escândalo repúblico brasileiro gente elegeu emenda relator ministra_cármen_lúcia decidir contra supremo_tribunal_federal partir provocação partido_socialismo_e_liberdade partido dois outro partido entrar supremo juntamente conosco retirar ação ministra transparência inconstitucional pressão chantagem tão grande partir casa ponto chegar recurso município recurso quê recurso corrupção ora governo_federal planejar orçamento verdade emenda relator comprar voto vergonha nacional emenda relator formar maioria casa governo_lulo aceitar hipótese nenhum emenda relator chantagem presidente_da_câmara qualquer partido parlamentar depender clientelismo fisiologismo político corrupção eleger responder cpi_do_tratoraço deputado_calil 78 assinatura verdade mostrar claramente hoje causa escândalo emenda relator comprar votar causar perda equidade perda isonomia fim estado bolsonaro comprar comprar parlamento_brasileiro inclusive derrotar momento peçar governo_lula acabar emenda relator casa finalmente democracia orçamento
70,0,0.9993448257446289,hoje supremo_tribunal_federal começar julgamento importante sociedade político brasileiro julgamento adpf psol outro partido mover pedir fim orçamento secreto infelizmente algum ano denunciar parlamento inclusive último semana comissão_mista_de_orçamento fizemos destaque garantir 19 bilhão real orçamento secreto ano 2023 infelizmente aprovar destaque apresentar deputada_fernanda seguir lutar contar compreensão ministro supremo_tribunal_federal quanto ilegalidade gravidade esquema outro coisa infelizmente permitir reeleição algum econômico dentro base eleitoral estado município disputar voto soubemos série inquérito investigação ministério_público_federal ministérios_públicos_estadual identificar exemplo superfaturamento obra inclusive cidade maranhão constatar segundo registro número dente retirar grande número dente todo população contandose recémnascir bebê dinheiro nenhum tipo transparência saber quanto receber cada onde dinheiro último 4 ano servir construir base sustentação político jair_bolsonaro reeleger ganhar dinheiro utilizar base eleitoral nenhum critério técnico garantir nenhum prioridade quanto necessário relação político público fato critério político debater parlamento algum região receber recurso outro dever receber enquanto diversos área sufoco universidade federal maltratar governo_bolsonaro sofrer duro golpe agora mês dezembro além 200 mil bolsista capes hora outro receber bolsa 14 mil médico residência hospitalar ficar salário jovem universidade depender moradia comida pagar assistência estudantil ficar míngua caso dinheiro bloqueiar recurso garantir pagamento orçamento secreto esperar supremo justiça senão hoje semana vir orçamento secreto luta fundamental obrigar
80,0,0.9990596175193787,obrigar registrar hoje completar 3 ano infelizmente massacre paraisópoli ação policial completamente desmedido injustificada culminar assassinato nove jovem idade 14 ano 23 ano massacre acontecer durante apagão 21 minuto rádio viatura central policial alegar verdade fruto ação repressão policial conflito próprio jovem baile ficar paraisópolis luta família justiça atuação defensoria_público possível identificar verdade jovem morrer asfixia inclusive traumatismo craniano lesão coluna justamente face ação desmedido repressão brutal inclusive episódio instalar câmera uniforme policial instrumento importante proteger população proteger próprio policial prova respeito atuação portanto saudar familiar lutar justiça saudar defensoria_pública_de_são_paulo fundamental papel resolução crime seguir colocandonos disposição luta reparação familiar jovem saudar especial danilo irmão jovem infelizmente assassinar episódio mandato inclusive destinar emenda dar instrumento defensoria_pública_de_são_paulo acesso dado técnico questão facilitar contraargumentação defesa família tanto outro vítima violência infelizmente acometer jovem brasil então justiça memório verdade nove vítima massacre_de_paraisópolis obrigar
159,1,0.9993894100189209,sr_presidente conviver absurdo nunca normalizar barbárie fascismo extremadireitar mentira querido companheiro ivan_valente bolsonarista extremadireitar saír esgoto botar cabeça verdade fraude pensar sobre fraude 2018 então juiz virar ministro_do_bolsonaro condenar lula condição garantir concorrer eleição conluio montar lula ganhar eleição 2018 debater fraude debater fraude sim máquina fake news financiar extremadireita bolsonarista discutir fraude discutir enorme trunfo democrático vitória lula eleição marcar estelionato eleitoral auxílio emergencial 600 real dezembro janeiro existir dinheiro orçamento bolsonaro pagar povo máquina diário mentira fraude coerção patronal tentar coisa absurdo tempo via brasil achar viver república_velha mandar voto trabalhador brasileiro denunciar vários caso rio_grande_do_sul sei brasil inteiro denunciar caso assédio patronal trabalhador dar resposta inconformar sim existir baderna golpista manifestação pedir golpe inconstitucional aliás fácil pedir ditadura democracia difícil ditadura pedir democracia sempre além fácil ilegal inconstitucional sim discutir brasil único lugar planeta onde extremadireitar eleitos sistema eleitoral lançar dúvida sobre urna elegeu elegeu delinquente vários ano deputado_federal inclusive elegeur palácio_do_planalto chegar mentira chegar mentira liberdade expressão liberdade mentir aceitare impunidade ficar registro psol linha frente justiça justiça entendase investigação todo crime bolsonaro contra povo brasileiro justiça bolsonaro sair planalto direto cadeia lugar criminoso cometer crime contra saúde público depender psol investigação cada financia fake news mentiro realidade paralelo laboratório extremadireita mundial aceitar perder dia 30 outubro último domingo mês grande trunfo democrático povo brasileiro agora condição lutar liberdade democrático seguir batalhar aumentar salário pequeno garantir auxílio emergencial batalhar igualdade salarial mulher homem defender meio ambiente garantir direito indígena garantir luta permanente portanto manifestação contra esgoto bolsonarista
111,1,0.998998761177063,sr_presidente assomo tribuna tarde apelo supremo_tribunal_federal algo vencedor eleição 2022 orçamento secreto inconstitucional ilegal imoral elegeur centena deputados_desta_casa ministra_rosa_weber chegar dar asa decisão correto anular orçamento secreto exigir transparência acabar inconstitucional vários motivo primeiro orçamento união parlamento segundo importante preciso planejamento central terceiro equidade isonomia cristalino então imperador sr_arthur_lira manejar durante 3 ano orçamento 50 bilhão real apaniguar ainda cima resolução stf agente externo indicar maneira camuflar prefeitura alocar verba pior denúncia uso dinheiro emenda relator revistao piauí assustadora codevasfr sus usar desviar milhão real bolso parlamentar além apaniguar receber dinheiro vivo aí voltar cá parlamentar eleitos continuidade governo_lulo agora acatar aceitar hipótese nenhum continuidade excrescência chamar emenda relator chamar orçamento secreto desvio dinheiro público roubo deboche povo brasileiro portanto supremo_tribunal_federal tomar decisão peremptório sobre acabar emenda relator simplesmente inconstitucional parte qualquer negociação casa eleição presidência governabilidade casa hipótese nenhum psol admitire roubo organizar desmoralização congresso_nacional continuar emenda relator orçamento secreto vergonha nacional
39,1,0.9981337189674377,psol orientar sim cumprimentar categoria enfermeiro enfermeira agradecerlhes luta seguir pressionar piso virar realidade infelizmente suspender efeito votaçãor piso nacional enfermagem conquistar mão luta aliás 30 ano lutar categoria obviamente resolução simples bastar acabar orçamento secreto pois exatamente 16 bilhão real necessário pagar piso enfermeiro aliás enfermeira maioria mulher categoria feminino maioria saber bem vexo enfermeira deputada_carmen_zanotto hoje então vir pec garantir recurso conquistar categoria lutar categorio mobilização agora necessário votála primeiro turno segundo turno avançar 30 hora outro demanda legítimo categoria
57,1,0.9974082112312317,psol votar matéria sim texto senar agora situação absurdo acontecer estado_do rio janeiro banco_do_brasil prédio 300 milhão real centro rio governo_de_bolsonaro resolver vender levar leilão prédio agora dia 20 dezembro final governo trabalhador banco_do_brasil onde outro prédio alugar btg_pactual vejam btg_pactual fundar paulo_guedes desculpem outro palavra nome picaretagem picaretagem final governo procurar ação possível evitar realização leilão absurdo operar
34,1,0.9970030188560486,dois emenda acatar embora saibar mérito quanto repovoamento rio atividade fiscalização controle parte órgão ministério_do_meio_ambiente propuser emenda instituição conselho atividade acompanhamento fauna aquático inclusive impactar negativamente meio ambiente tanto atividade pesqueiro quanto biodiversidade aquático emenda apresentar justamente sentido garantir ideia original repovoamento atividade combinar necessidade ambiental atividade pesqueiro incorporar orientação psol
